"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";4,52968087478221;0,26848810902086;3,46175503818102e-08
"time_jr";-0,369358816619013;0,0709098358228173;0,000388871897168741
"age";-0,00137350365868453;0,00451344440496318;0,767747404549901
"sekseVrouw";-0,00869034612472677;0,0132411323407662;0,517012585948549
"etn_herkomstWesterse_migratieachtergrond";-0,0433139072135272;0,0176743209207321;0,0166368167837332
"etn_herkomstNiet_westerse_migratieachtergrond";-0,129030008036256;0,0321738239706862;0,00054344425141184
"eduMiddel";-0,265863066510517;0,014096033860792;0
"eduLaag";-0,419343455444009;0,0237391533162244;0
"huisAlleenstaand_met_kinderen";-0,145338202353131;0,025886038670298;1,53476805930808e-07
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0843271524077079;0,018726112696155;0,000100354806191305
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,0924692171333988;0,0187682390372946;7,12544969405648e-05
"huisAnders";0,0171633993604985;0,0233543388909661;0,46566809611462
"gezo";-0,0745242141574321;0,00826045248229461;1,23366730520047e-06
"rond";-0,0591242652104414;0,00462805951644272;5,77515590904909e-10
"drei";0,0395734765626661;0,0103813458301729;0,00315422115652497
"onvr";-0,229882728296801;0,0159858886891809;8,2249442812099e-08
"time_jr:age";-0,00205803930515923;0,000901334632729089;0,0462222245516006
"time_jr:sekseVrouw";-0,0254219909108333;0,0134996548019821;0,0840424527645776
"time_jr:etn_herkomstWesterse_migratieachtergrond";-0,00505631134943547;0,016400540132216;0,761982499020427
"time_jr:etn_herkomstNiet_westerse_migratieachtergrond";0,0147066874306308;0,0307157195878746;0,642038380089792
"time_jr:eduMiddel";0,0142720922004033;0,0128155282281389;0,28403848109079
"time_jr:eduLaag";0,046808057519872;0,024295781792807;0,079178951863792
"time_jr:huisAlleenstaand_met_kinderen";0,0277888588906833;0,0282303067871256;0,342649924044505
"time_jr:huisSamenwonend_met_partner_met_thuiswonende_kinderen";-2,95676894723923e-05;0,0188277153470138;0,998772065211002
"time_jr:huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";-0,00803928900713898;0,0169998392197848;0,644376016481266
"time_jr:huisAnders";-0,0148833500261118;0,0316006603450318;0,647198268532291
"time_jr:gezo";0,0105477579615181;0,00880328226598656;0,252126468150036
"time_jr:rond";0,0182565434768266;0,00603009099219322;0,00850674743634627
"time_jr:drei";0,0154451016843142;0,0077977906532806;0,0685249873930673
"time_jr:onvr";-0,0643412816180894;0,0133180374834042;0,000643908602266041
