"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";3,96478924621674;0,0229367161001882;0
"time_yr";-0,507275454322086;0,028643635015131;0,000588570744025407
"I(time_yr^2)";-0,188185406248705;0,0140980697780601;1,05749631273966e-10
"age_cat35-49";-0,0456899211299704;0,0333051373448885;0,262594124030191
"age_cat50-64";-0,0803521874948659;0,0266497374535567;0,032187844485847
"age_cat65+";-0,129446330556419;0,0244521426264056;0,000590582970221298
"sekseVrouw";0,0173357148131133;0,0128558223540417;0,18317384249923
"etn_herkomstmigratie_westers";-0,0260622176239187;0,0242429573632037;0,307118226593399
"etn_herkomstmigratie_niet_westers";-0,060836117697264;0,0356738220815612;0,0890840822112779
"eduMiddel";-0,286498755271489;0,0141381509091562;0
"eduLaag";-0,4004268927095;0,0290832359957015;5,088418575383e-11
"huisAlleenstaand_met_kinderen";-0,0774527927403261;0,037139351672008;0,0485223162354549
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,112526609344782;0,0182116708608392;8,01471999878345e-10
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,119625118735601;0,0168951492787958;3,40743453897119e-07
"huisAnders";-0,0138135456331375;0,0304810087267362;0,656259718454786
