"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";4,57177932128472;0,281143019693202;0,0000000495565490865602
"time_jr";-0,453065666955651;0,0675155358156283;0,0000701567984493501
"age";-0,0019072006215621;0,00445339903081203;0,67844135760049
"sekseVrouw";-0,0108136091464646;0,0130245102197044;0,413083842987191
"etn_herkomstWesterse_migratieachtergrond";-0,0434878768190577;0,0179987819878671;0,018491913699314
"etn_herkomstNiet_westerse_migratieachtergrond";-0,12926686980158;0,0325328730598849;0,000617167761091775
"eduMiddel";-0,260372367676052;0,0149879607922283;0
"eduLaag";-0,411176075713223;0,021581106216444;0
"huisAlleenstaand_met_kinderen";-0,139510044279263;0,0254273990981895;0,00000020018786961451
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0843004482341164;0,0182654675515637;0,0000618829704679413
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,0929351125866907;0,0184291493607024;0,0000484419791135782
"huisAnders";0,0181827506208248;0,0233216424002615;0,439057276844873
"gezo";-0,0696960462731578;0,00745090138508829;0,00000230475035367661
"rond";-0,0479096934673885;0,00324601746471416;0,000000000355758977832465
"drei";0,0518869597702915;0,0107044247788308;0,000784883977542838
"onvr";-0,270208151351037;0,0129689877427652;0,00000000353380080753141
"time_jr:age";-0,00121783446159534;0,000818052733385172;0,168021248104469
"time_jr:sekseVrouw";-0,0224693321178434;0,0132789581588026;0,116038157572976
"time_jr:etn_herkomstWesterse_migratieachtergrond";-0,00450313624890266;0,0169947432008913;0,794689663026779
"time_jr:etn_herkomstNiet_westerse_migratieachtergrond";0,0140056520885551;0,0316345567706346;0,667144778947574
"time_jr:eduMiddel";0,0044499987959059;0,0138367337430991;0,75290167382095
"time_jr:eduLaag";0,0320232460578185;0,0187733902638807;0,111308916391904
"time_jr:huisAlleenstaand_met_kinderen";0,018416507078712;0,0269982503307477;0,506501643761699
"time_jr:huisSamenwonend_met_partner_met_thuiswonende_kinderen";-0,000175932355244444;0,017931372445051;0,99232347794413
"time_jr:huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";-0,00853050197711033;0,0165785073580269;0,615672254690745
"time_jr:huisAnders";-0,0175186819758576;0,0318986997297074;0,594302174514691
