"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";4,98513443238714;0,0267789878320809;0
"time_yr";-0,0982205079437451;0,024426151070658;0,000175716480762311
"I(time_yr^2)";-0,373134003336219;0,0195246925914724;0,000610847927469349
"age_cat35-49";-0,105922692492499;0,0230347181693598;8,0960500467242e-05
"age_cat50-64";-0,153573562774993;0,0314015734986246;0,0245300881568546
"age_cat65+";-0,266667045967285;0,0252781011720873;2,8857569022378e-05
"sekseVrouw";-0,0281294915975407;0,041383060387347;0,604686663687396
"etn_herkomstmigratie_westers";0,0110011682630628;0,0724584793721947;0,901206256806208
"etn_herkomstmigratie_niet_westers";-0,137189810422888;0,0712826648082584;0,23112595739939
"eduMiddel";-0,163708739604286;0,0243733323377517;0,0182867368286896
"eduLaag";-0,23898325301047;0,0249020309874044;0
"huisAlleenstaand_met_kinderen";-0,02369035161284;0,132599401060382;0,884746993052513
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0784230855422568;0,0308498518473004;0,109902366882558
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,016542699176125;0,0164864980542528;0,321194567855604
"huisAnders";-0,0724240577110085;0,0314832487070017;0,0523790762252463
"gezo";-0,0830380299737979;0,00889166239392974;0,0176566324233456
"rond";-0,125032909194615;0,00661988911449697;0,00769915322484405
"drei";0,108128788285709;0,01102961708028;0,0289686056579912
"onvr";-0,393879189710153;0,00378569519096101;0
"time_yr:age_cat35-49";0,0243512576715736;0,0293915952228992;0,502198156392334
"time_yr:age_cat50-64";-0,0141914361917953;0,0662583026620819;0,863210758577568
"time_yr:age_cat65+";0,00532458054935251;0,0515555461356152;0,932357315629462
"time_yr:sekseVrouw";0,0044001844311807;0,0562757792049074;0,949777787086065
"time_yr:etn_herkomstmigratie_westers";-0,0552628647756331;0,0885134739654151;0,639379660303927
"time_yr:etn_herkomstmigratie_niet_westers";0,124034358577136;0,070629037664332;0,3064146516194
"time_yr:eduMiddel";0,0148682413561817;0,0312566876058835;0,702769328358881
"time_yr:eduLaag";0,041898777131244;0,0176315937038037;0,0199256213529413
"time_yr:huisAlleenstaand_met_kinderen";0,0233652055323322;0,210700340856594;0,929296022562173
"time_yr:huisSamenwonend_met_partner_met_thuiswonende_kinderen";-0,0372788240540594;0,0316896099322923;0,385884038889578
"time_yr:huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";-0,00478565210499935;0,0143836932317589;0,744043519303853
"time_yr:huisAnders";0,0872719002574925;0,0177258262437651;8,50397583462836e-07
