"Predictor";"Estimate";"Std.Error";"P(>|t|)";"sig"
"(Intercept)";4,63362620752661;0,0380981719978155;0;"*"
"time_yr";1,74431433953973;0,122812884402048;4,01900734914307e-14;"*"
"I(time_yr^2)";-1,35113992432174;0,0791645995785362;0;"*"
"age_cat35-49";-0,124309940157623;0,0225432598737483;4,01863267107672e-08;"*"
"age_cat50-64";-0,129934989539731;0,021545430878785;9,65900870397718e-09;"*"
"age_cat65+";-0,204723452665763;0,0225218126681519;8,88178419700125e-16;"*"
"sekseVrouw";-0,0295816994064644;0,0560352870657324;0,68317985954803;""
"etn_herkomstmigratie_westers";0,063749683355066;0,050315340683619;0,366002197428075;""
"etn_herkomstmigratie_niet_westers";-0,0779433997323458;0,107440145822774;0,582485454510292;""
"eduMiddel";-0,162753739149594;0,0280681323925164;0,0306948652268284;"*"
"eduLaag";-0,222800605949577;0,0493364168219765;0,0515588548517756;""
"huisAlleenstaand_met_kinderen";0,0048987100318787;0,0884164521340174;0,96258832292419;""
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0853111846677809;0,027963299414185;0,038841168363037;"*"
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,030662252307316;0,0166629866195861;0,0657474772133138;""
"huisAnders";-0,0523350325249844;0,0427161169372167;0,3159926089749;""
"gezo";-0,0313627061516594;0,0136080216164193;0,183727740434058;""
"rond";-0,159595145641966;0,0146426305041834;0,0285979566327952;"*"
"drei";0,0708496756332858;0,00774555228582788;0;"*"
"onvr";-0,220690974128874;0,00544541056183428;0;"*"
"time_yr:age_cat35-49";0,213873783452376;0,0990391377286797;0,160062584944404;""
"time_yr:age_cat50-64";-0,000633465300321491;0,0697845375233583;0,993086435743203;""
"time_yr:age_cat65+";-0,127612676073487;0,0921978131940729;0,276047921532631;""
"time_yr:sekseVrouw";0,0983051109551029;0,134274647230698;0,584461697870004;""
"time_yr:etn_herkomstmigratie_westers";-0,325686193546218;0,0616207507094554;3,13017697717299e-06;"*"
"time_yr:etn_herkomstmigratie_niet_westers";-0,11902887220893;0,328922878986082;0,775424956428238;""
"time_yr:eduMiddel";-0,0198154813046671;0,075578364829481;0,819192791231545;""
"time_yr:eduLaag";-0,0413458531442792;0,20048445506278;0,865716329440961;""
"time_yr:huisAlleenstaand_met_kinderen";-0,190570885882605;0,101383982926546;0,0698808401690101;""
"time_yr:huisSamenwonend_met_partner_met_thuiswonende_kinderen";-0,0606458050958221;0,0563358283560475;0,285847864765275;""
"time_yr:huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";-0,0790075426331113;0,0460670859797952;0,0867452084187079;""
"time_yr:huisAnders";0,0721936010659859;0,125005851782825;0,626072136121784;""
"time_yr:gezo";-0,190559434823903;0,12911237732341;0,368788612373205;""
"time_yr:rond";0,0887332536404153;0,0277861372423949;0,0368923699034873;"*"
"time_yr:drei";0,00989414662465802;0,0694455983458941;0,905750333074869;""
"time_yr:onvr";-0,678720778693751;0,0256198338585895;1,36890943025492e-10;"*"
"I(time_yr^2):age_cat35-49";-0,156701164916478;0,0556405053316966;0,0623892355604192;""
"I(time_yr^2):age_cat50-64";-0,052064072514508;0,0812087990612634;0,603906259502817;""
"I(time_yr^2):age_cat65+";0,0339399227669951;0,0883778946972945;0,748285450939519;""
"I(time_yr^2):sekseVrouw";-0,0900235239834859;0,0548136498342539;0,281254870422353;""
"I(time_yr^2):etn_herkomstmigratie_westers";0,181895280483072;0,08067807752198;0,176258865538222;""
"I(time_yr^2):etn_herkomstmigratie_niet_westers";0,161236803272158;0,190839638087283;0,54163874704186;""
"I(time_yr^2):eduMiddel";0,0550508977980483;0,0377581622618208;0,219433334759973;""
"I(time_yr^2):eduLaag";0,0846561957359473;0,14079684285841;0,641302265793792;""
"I(time_yr^2):huisAlleenstaand_met_kinderen";0,167183287465504;0,18175681431138;0,497581802561788;""
"I(time_yr^2):huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,00820080286667054;0,0357527145237865;0,818577421409707;""
"I(time_yr^2):huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,0440933761194252;0,0312839072873309;0,159148576018983;""
"I(time_yr^2):huisAnders";0,00236097388045201;0,089998900764017;0,981807751970659;""
"I(time_yr^2):gezo";0,11542084133076;0,0792933626918634;0,369612155552856;""
"I(time_yr^2):rond";-0,0195746691530546;0,0156173321314927;0,235807991389627;""
"I(time_yr^2):drei";0,0143519832019999;0,0450381533142517;0,793617347394508;""
"I(time_yr^2):onvr";0,313341033104151;0,0237105629616477;0,00171072414969808;"*"
