"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";4,63856393643001;0,189086711429805;0,000000000673331612688344
"time_jr";-0,528202167198115;0,0254743799416707;0,00000000338315908621212
"age";-0,00447528915480564;0,00254049717656494;0,110091198275479
"sekseVrouw";-0,00563167436266049;0,0127398141127074;0,658485281449228
"etn_herkomstWesterse_migratieachtergrond";-0,0377973874772208;0,0216972985112662;0,0819402846808464
"etn_herkomstNiet_westerse_migratieachtergrond";-0,0723398305036909;0,0377637595158962;0,0556379582691111
"eduMiddel";-0,283521496617175;0,0170158995181522;0
"eduLaag";-0,371054536571655;0,030446017926371;0
"huisAlleenstaand_met_kinderen";-0,0754969607729198;0,0347402590334398;0,0298845418066045
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0983188618158614;0,0183397196441995;0,0000000908303769975305
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,0889649348734843;0,0173442104183442;0,000000684054829669378
"huisAnders";-0,0176058392361097;0,0304657932414304;0,563693362996425
"gezo";-0,0696529053872628;0,00531295001085841;0,0000000000233888464151732
"rond";-0,0507524408824733;0,00691327822407172;0,00000950727222326364
"drei";0,0596601357512714;0,0128054646659587;0,000924824565169402
"onvr";-0,237317248567001;0,0137197290686384;0,0000000101591552947866
