"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";4,58422338160425;0,236941612028401;0,00000000754622186960319
"time_jr";-0,437759450948956;0,102263290154373;0,00182847955888144
"age";-0,00348787877773113;0,0034671221350339;0,339809270796883
"sekseVrouw";0,0161373103089443;0,0192985321953201;0,409122449342839
"etn_herkomstWesterse_migratieachtergrond";-0,0357967507549251;0,0318222961721208;0,268663876875409
"etn_herkomstNiet_westerse_migratieachtergrond";-0,120185690086073;0,0535648018279995;0,0312072930471339
"eduMiddel";-0,294068050830367;0,0177862423651331;0
"eduLaag";-0,426232712420069;0,0351305921461589;0
"huisAlleenstaand_met_kinderen";-0,0891572707081148;0,0503562012849424;0,0847494405886586
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,11423141158659;0,0203858056972157;0,0000000316837973635131
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,103561143770328;0,0201877374534845;0,00000172567537193302
"huisAnders";-0,0137330181488539;0,037596341426287;0,716139240602266
"gezo";-0,0694929657815971;0,00502649319485377;0,0000000000013864465131519
"rond";-0,0510548879448376;0,0068200806455586;0,00000747871666195721
"drei";0,0594564737182422;0,0125315945228523;0,000803539353164684
"onvr";-0,238670478550057;0,0139623420417142;0,0000000118223359990566
"time_jr:age";-0,00152929375209042;0,00152254804699956;0,340008572049382
"time_jr:sekseVrouw";-0,033605949786589;0,0231016954600283;0,173009391382279
"time_jr:etn_herkomstWesterse_migratieachtergrond";-0,00304707773934761;0,0307033125962307;0,922434746783336
"time_jr:etn_herkomstNiet_westerse_migratieachtergrond";0,073674345325991;0,0532401837794894;0,193751054592185
"time_jr:eduMiddel";0,0169316185179904;0,0129326190015452;0,201634875133875
"time_jr:eduLaag";0,0859862247154991;0,0382882722036894;0,0451741815100584
"time_jr:huisAlleenstaand_met_kinderen";0,0212426163976429;0,0512443449666663;0,685465889679127
"time_jr:huisSamenwonend_met_partner_met_thuiswonende_kinderen";-0,0247255815294227;0,0131614339929088;0,0634502749944414
"time_jr:huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";-0,0228531787666328;0,0204599579285078;0,281506998180229
"time_jr:huisAnders";-0,00603426845146633;0,0332799938742082;0,858684829228753
