"Predictor";"Estimate";"Std.Error";"P(>|t|)";"sig"
"(Intercept)";4,58650545752076;0,228037567133345;0,0000000046945340947957;"*"
"time_jr";-0,421949412771843;0,100815546074985;0,00176648305293758;"*"
"age";-0,0030748352886313;0,00352187198930695;0,404561736452566;""
"sekseVrouw";0,0193315933765883;0,019470839864301;0,328349402345955;""
"etn_herkomstWesterse_migratieachtergrond";-0,0336281546016546;0,0319152538174334;0,299730384508667;""
"etn_herkomstNiet_westerse_migratieachtergrond";-0,118550216615202;0,0535792676823852;0,0335215011764005;"*"
"eduMiddel";-0,297031195276416;0,0177808187363535;0;"*"
"eduLaag";-0,428983892433178;0,0358800325205071;0;"*"
"huisAlleenstaand_met_kinderen";-0,0910765940635294;0,0509944689288571;0,0826425674231372;""
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,114696175281924;0,0203906383029836;0,0000000285502632646484;"*"
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,103080503250468;0,0204261121114883;0,00000278940865094945;"*"
"huisAnders";-0,0142281002401911;0,0378002479754657;0,707949492437674;""
"gezo";-0,0623002935339345;0,0118967290333075;0,000198496254238734;"*"
"rond";-0,0618845200041787;0,0106996767406704;0,0000984876990464123;"*"
"drei";0,0388881697154249;0,0138696903730364;0,0171047774803312;"*"
"onvr";-0,218497683566973;0,0125088241827542;0,0000000012383245540093;"*"
"time_jr:age";-0,00215015382145002;0,00159783791552409;0,209577917583043;""
"time_jr:sekseVrouw";-0,0385808137806193;0,0235398721766923;0,128998631642673;""
"time_jr:etn_herkomstWesterse_migratieachtergrond";-0,00674967843124833;0,0308913141044143;0,830394924955066;""
"time_jr:etn_herkomstNiet_westerse_migratieachtergrond";0,0717821455653293;0,0533762011977615;0,205678427315744;""
"time_jr:eduMiddel";0,0233643946373983;0,0139025147313311;0,105994427445118;""
"time_jr:eduLaag";0,0928722588883971;0,0398838016825798;0,039057337292649;"*"
"time_jr:huisAlleenstaand_met_kinderen";0,0244302513911941;0,0524043749587817;0,649175601840218;""
"time_jr:huisSamenwonend_met_partner_met_thuiswonende_kinderen";-0,0250101669068364;0,013017099015413;0,0573342554089933;""
"time_jr:huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";-0,0223606557628405;0,0200614484298665;0,281828249314029;""
"time_jr:huisAnders";-0,00406003863236265;0,0336336599711034;0,905626077936735;""
"time_jr:gezo";-0,00899079937843565;0,0145087792871616;0,546777742156459;""
"time_jr:rond";0,017844147139408;0,00991467177355386;0,0934687236499754;""
"time_jr:drei";0,028756074776113;0,0077493028528826;0,000918912766942448;"*"
"time_jr:onvr";-0,0362228694786969;0,0127834077300429;0,0144254613098367;"*"
